"","A1","A2","A3","B1","B2","B3","C1","C2","C3"
"Mgat5",303.73594681756,330.457006463957,364.456695892818,279.973323703227,263.519433236885,276.973161185841,123.836099726651,147.885497173792,127.663035715461
"Mgat5b",0,0,0,0,0,0,0,1.1644527336519,0
"MGC105567",25.1367680124878,36.7174451626619,74.4312970485332,8.92345254831003,15.3621194263655,8.4214812522722,5.47947343923236,2.32890546730381,4.20867150710312
"MGC105649",190.620490761365,198.828429465735,285.747738094369,1789.15223593616,1769.0071370207,1388.60868648577,2490.96862547503,2089.02820417151,2469.08728416717
"MGC108823",0,0,0,0,0,0,0,0,0
"MGC109340",2.09473066770731,0,3.42212859993256,0,0,0,0,0,0
"MGC112692",0,0,0,0,0,0,0,0,0
"MGC112715",9.07716622673169,13.8556396840234,9.41085364981454,25.6549260763913,8.27191046035064,20.5858430611098,17.5343150055436,19.7956964720824,35.0722625591927
"MGC114246",0,0,0,0,0,0,0,0,0
"MGC114427",0,0,0,0,0,0,0,0,1.40289050236771
"MGC114483",0,0,0,0,0,0,0,0,0
"MGC114492",0,0,0,0,0,0,0,0,0
"MGC114499",0,0,0,0,0,0,0,0,0
"MGC116121",153.613582298536,187.743917718517,195.916862346139,71.3876203864803,66.1752836828051,126.322218784083,60.274207831556,68.7027112854623,65.9358536112823
"MGC116197",6.28419200312194,3.46390992100584,6.84425719986512,0,0,0,0,4.65781093460761,2.80578100473542
"MGC93861",3.49121777951219,2.77112793680467,6.84425719986512,4.46172627415502,2.36340298867161,0,3.28768406353942,0,1.40289050236771
"MGC94199",0,0,0,0,0,0,0,0,0
